objectid,object_location,image_small,image_thumb,display_template,title,creator,subject,identifier,Language,publisher,location,date,Edition,tags,bobcat_permalink,worldcat_permalink
as033,/objects/as033.jpg,/objects/small/as033_sm.jpg,/objects/thumbs/as033_th.jpg,item,"Research Guide to Andean History: Bolivia, Chile, Ecuador, and Peru","TePaske, John J.",Andean Studies,9780822304500,"eng,spa",Duke University Press,United States,1982,1,"Pan-andean,Research Guide",https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph002613897,https://worldcat.org/en/title/7178404
as034,/objects/as034.jpg,/objects/small/as034_sm.jpg,/objects/thumbs/as034_th.jpg,item,"Andean Lives: Gregorio Condori Mamani and Asunta Quispe Huamán
","Valderrama Fernández, Ricardo; Escalante Guitérrez, Carmen ",Andean Studies,0-292-72491-8,eng,University of Texas Press,United States,1996,1,History -- Peru,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph008135490,https://worldcat.org/en/title/32778860
as035,/objects/as035.jpg,/objects/small/as035_sm.jpg,/objects/thumbs/as035_th.jpg,item,"Los Virajes del Quipu: Pensamiento Utópico, (De)construcción de Nación y Resistencia en el Mundo Andino","Valdivia Baselli, Alberto ",Andean Studies,"978-9972-46-647-2
",spa,Fondo Editorial,Peru,2018,1,Stories,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph007361149,https://worldcat.org/en/title/1098241680
as036,/objects/as036.jpg,/objects/small/as036_sm.jpg,/objects/thumbs/as036_th.jpg,item,"La ""Consulta Previa"" en opinión de los pueblos Indígenas ",Various,Andean Studies,,spa,Consejo Nacional de Ayllus y Markas del Qullasuyu,Boliva,2013,1,Indigenous Politcs,,
as037,/objects/as037.jpg,/objects/small/as037_sm.jpg,/objects/thumbs/as037_th.jpg,item,De Túpac Amaru a Gamarra : Cusco y la formación del Perú Republicano,"Walker, Charles",Andean Studies,9786124121418,spa,Centro de Estudios Regionales Andinos Bartolomé de Las Casas,Peru,2021,4,History -- Peru,,https://worldcat.org/en/title/1313579186
dic001,/objects/dic001.jpg,/objects/small/dic001_sm.jpg,/objects/thumbs/dic001_th.jpg,item,Simi Taqe Qheswa - Español - Qheswa,Gobierno Regional Cusco,Dictionaries,,"spa,que",Gobierno Regional Cusco,Peru,2006,2,Dictionary,,https://worldcat.org/en/title/845761072
dic002,/objects/dic002.jpg,/objects/small/dic002_sm.jpg,/objects/thumbs/dic002_th.jpg,item,Vocabulario de la Lengua Qquichua,"Goncalez Holguin, Diego ",Dictionaries,,"spa,que",Universidad Nacional Major de San Marcos,Peru,1952,1,Dictionary,,https://worldcat.org/en/title/1105318591
dic003,/objects/dic003.jpg,/objects/small/dic003_sm.jpg,/objects/thumbs/dic003_th.jpg,item,"
Quechua-Spanish-English Dictionary: A Hippocrene Trilingual Reference","Gonzales, Odi; Janney, Christine Mladic; Thompson, Emily Fjaellen",Dictionaries,9780781813549,"spa,que,eng",Hippocrene Books,United States,2018,1,Dictionary,,https://worldcat.org/en/title/992433705
dic004,/objects/dic004.jpg,/objects/small/dic004_sm.jpg,/objects/thumbs/dic004_th.jpg,item,Diccionario Quechua - Castellano,"Lira, Jorge A.; Mejía Huamán, Mario ",Dictionaries,978-9972-236-70-9,"que,spa","Universidad Ricardo Palma, Editorial Universitaria",Peru,2008,1,Dictionary,,https://worldcat.org/en/title/318613445
dic005,/objects/dic005.jpg,/objects/small/dic005_sm.jpg,/objects/thumbs/dic005_th.jpg,item,Diccionario Quechua - Español - Quechua,Millenium Editora Global,Dictionaries,,"spa,que",Millenium Editora Global,Peru,2009,1,Dictionary,,https://worldcat.org/en/title/670103285
dic006,/objects/dic006.jpg,/objects/small/dic006_sm.jpg,/objects/thumbs/dic006_th.jpg,item,Iskay Simipi Simipirwa Qhichwa - Castellano,"Quiroz Villarroel, Alfredo",Dictionaries,9789990530162,"spa,que",Sabios Indígenas y Directorio CENAQ,Bolivia,2010,1,Dictionary,,https://worldcat.org/en/title/84672579
is001,/objects/is001.jpg,/objects/small/is001_sm.jpg,/objects/thumbs/is001_th.jpg,item,A Recognition of Being: Reconstructing Native Womanhood,"Anderson, Kim",Worldwide Indigenous Studies,978-1-894549-127,eng,Sumach Press,Canada,2001,1,Other Indigenous Studies: Canada; Feminist studies,,https://www.worldcat.org/title/1229174275
